"id_municipio";"vl_ideb";"vl_proj"
2313203;4.9;3.8
2313252;5.1;4.8
2313302;5.2;4.9
2313351;4.5;4.6
2313401;5.2;4.9
2313500;5.1;4.9
2313559;4.8;4.9
2313609;5.5;5.3
2313708;4.9;3.9
2313757;4.4;4.6
2313807;5.0;4.9
2313906;5.2;5.0
2313955;5.2;4.4
2314003;5.0;4.8
2314102;5.4;4.6
2400109;5.0;5.4
2400208;3.4;4.1
2400307;4.0;4.2
2400406;3.8;4.4
2400505;4.1;4.5
2400604;3.6;4.6
2400703;4.3;4.4
2400802;4.2;4.2
2400901;3.3;4.2
2401008;4.1;4.6
2401107;3.5;4.3
2401206;3.0;4.4
2401305;3.7;4.3
2401404;3.3;4.4
2401453;;4.3
2401503;3.3;4.7
2401602;3.0;3.8
2401651;;4.1
2401701;3.4;4.7
2401800;3.6;3.9
2401859;3.3;4.5
2401909;2.9;4.4
2402006;4.1;4.6
2402105;3.5;4.2
2402204;3.0;4.4
2402303;3.9;4.7
2402402;4.3;5.0
2402501;3.6;4.3
2402600;3.4;4.2
2402709;3.3;4.3
2402808;3.1;4.5
2402907;3.7;4.3
2403004;4.9;5.1
2403103;4.3;4.9
2403202;4.5;4.9
2403251;3.8;4.7
2403301;4.9;4.7
2403400;3.8;4.7
2403509;3.4;4.2
2403608;4.0;4.4
2403707;4.0;4.0
2403756;3.4;3.9
2403806;4.6;4.6
2403905;4.3;4.6
2404002;4.6;4.8
2404101;3.1;4.3
2404200;3.7;4.4
2404309;3.7;4.7
2404408;3.7;4.5
2404507;3.7;4.3
2404606;3.8;4.3
2404705;3.1;4.0
2404804;5.5;4.9
2404853;3.3;3.9
2404903;3.1;4.6
2405009;;4.5
2405108;4.1;4.4
2405207;4.2;4.5
2405306;4.6;4.4
2405405;2.8;4.1
2405504;3.0;4.3
2405603;3.3;4.5
2405702;4.5;4.8
2405801;3.1;4.1
2405900;3.0;3.1
2406007;4.0;5.0
2406106;4.2;4.6
2406155;3.8;3.9
2406205;3.4;3.8
2406304;3.6;3.9
2406403;2.6;4.3
2406502;3.9;4.3
2406601;3.4;4.4
2406700;4.6;5.0
2406809;3.2;4.5
2406908;4.4;4.1
2407005;3.6;4.8
2407104;3.1;4.3
2407203;3.8;4.6
2407252;3.7;4.6
2407302;4.0;4.4
2407401;4.2;4.6
2407500;3.7;4.2
2407609;3.5;4.5
2407708;3.9;4.4
2407807;3.6;4.0
2407906;3.1;3.8
2408003;3.9;4.7
2408102;3.4;4.6
2408201;3.2;4.4
2408300;3.3;4.1
2408409;3.6;4.1
2408508;5.3;5.0
2408607;4.3;4.4
2408706;2.3;4.6
2408805;3.5;4.2
2408904;4.0;4.6
2408953;3.4;3.9
2409100;4.1;4.3
2409209;3.2;4.6
2409308;4.1;4.4
2409332;;4.7
2409407;4.1;4.6
2409506;3.6;4.2
2409605;3.0;3.9
2409704;2.6;4.2
2409803;3.6;4.2
2409902;3.4;4.2
2410009;4.4;4.7
2410108;2.9;4.2
2410207;4.3;4.7
2410256;3.3;4.5
2410306;3.3;4.5
2410405;3.2;4.2
2410504;4.0;5.1
2410603;4.4;4.5
2410702;4.4;4.7
2410801;3.7;5.6
2410900;3.2;4.2
2411007;;4.0
2411056;3.6;4.1
2411106;4.8;4.1
2411205;3.4;4.2
2411403;3.5;4.8
2411429;4.7;4.9
2411502;3.6;4.0
2411601;3.9;4.3
2411700;3.4;4.0
2411809;5.0;4.7
